Câu hỏi	Đáp án
biển tròn màu xanh	hiệu lệnh thi hành
biển chữ nhật màu xanh	biển báo chỉ dẫn
điều kiện tập lái	ý 1 & 2
thực hành lái xe, giáo viên	mang phù hiệu giáo viên dạy lái xe
xe tập lái	ý 1 & 2
cấp giấy phép lái xe	trung tâm sát hạch lái xe
giấy tờ khi chạy trên đường	các giấy tờ phải còn giá trị sử dụng
dùng GPLX đã khai báo mất, người lái	ko dc cấp trong 5 năm
CSGT giơ tay 2 bên	2 bên  trái phải dc đi
CSGT giơ tay lên trên	tất cả hướng dừng lại
ưu tiên hiệu lệnh	của người điều khiển giao thông
ưu tiên biển báo	tạm thời
điều khiển phương tiện trên làn trg xe cùng chiều	phải có tín hiệu báo trc
đường 1 chiều, có vạch phân làn thô sơ	thô sơ đi bên phải trong cùng
đi trong đô thị từ 22h -> 5h	chỉ dc báo hiệu đèn
xe sau xin vượt	giảm tốc độ
xe hạng FC	không có khách nối toa, không có mô tô 2 bánh
xe hạng FE	không có đầu kéo kéo sơ mi rơ móc
khu dân cư, nơi nào dc quay đầu	có biển cho phép quay đầu
quay đầu xe trên cầu, đường ngầm, đường sắt	không được quay đầu
muốn chuyển hướng	giảm tốc độ
lùi xe đảm bảo an toàn	phải quan sát phía sau
đèn sau sáng trắng	chuẩn bị lùi hoặc đang lùi
tránh xe ngược chiều	ý 1 & 2
đang xuống dốc	nhường cho xe lên dốc
đang trên đường ko ưu tiên giao nhau 	nhường xe cho dường ưu tiên, đường chính
giao nhau không vòng xuyến	nhường xe bên phải
giao nhau cùng mức đường sắt	ưu tiên đường sắt
cách đường sắt từ ray gần nhất	5 mét
điều khiển xe vào cao tốc	nhường đường cho xe đang chạy
dừng xe trên cao tốc	chỉ được ở nơi quy định
không được vào cao tốc	nhỏ hơn 70km/h
đi trong hầm đường bộ	phải bật đèn, chỉ được dừng ở nơi quy định
xe quá tải quá khổ	cơ quan quản lý cấp phép
nối xe, hãm không còn hiệu lực	dùng thanh nối cứng
xe kéo rơ móc	trọng lượng lớn hơn tổng trọng lượng
xe ô tô kéo xe khác	nối bằng thanh nối cứng
người ngồi trên xe 2 bánh	đội mũ khi tham gia giao thông
xe 2 bánh chở tối đa 2 ng	cả ý 1 và 2
tại ngã 3 ngã 4	nhường đường cho ng đi bộ đang đi
bật tín hiệu rẽ	trc khi thay đổi làn đường
(câu 117)	
